"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G00446",0,0,0,0,0,0,0,0,0,1,7
"G00447",368,334,465,115,472,599,114,183,403,353,557
"G00448",14,62,11,0,8,17,0,10,18,24,39
"G00449",526,503,440,435,5033,6137,791,518,722,2352,1822
"G00450",456,435,100,0,328,439,82,85,291,296,393
"G00451",689,1063,826,246,1367,1634,336,609,1136,947,1167
"G00452",16,13,26,2,42,39,43,1,18,14,23
"G00453",541,947,197,2,545,740,20,333,880,646,1373
"G00454",0,2,0,0,91,18,553,10,1,0,0
"G00455",6,2,6,0,247,52,1169,5,32,0,49
"G00456",0,0,0,0,2,1,4,3,0,0,4
"G00457",1634,3773,747,178,1067,1671,360,829,2472,2086,2727
"G00458",91,356,57,15,92,190,10,81,135,165,185
"G00459",1550,3255,1968,1214,3659,5369,829,1577,2640,2597,3221
"G00460",1015,1415,908,455,1739,1902,424,939,1131,1124,1147
"G00461",18,8,82,28,50,89,3,7,62,16,21
"G00462",31,62,3462,2679,519,388,801,80,774,114,216
"G00463",293,638,448,75,718,771,261,221,522,345,584
"G00464",0,0,0,0,0,0,0,0,0,0,0
"G00465",228,550,181,115,421,493,52,311,393,394,569
"G00466",0,0,0,0,0,0,0,0,0,0,0
"G00467",2412,1995,2286,509,2806,3487,1062,1418,2391,2046,2370
"G00468",130,337,142,21,241,279,26,81,255,248,425
"G00469",425,846,553,334,711,729,290,327,759,513,573
"G00470",0,0,0,0,1,4,0,0,2,3,6
"G00471",51,11,78,12,31,57,0,18,40,19,14
"G00472",28,129,19,0,55,105,7,35,67,87,229
"G00473",22,50,40,0,68,78,17,25,29,28,34
"G00474",135,128,259,228,1043,592,527,131,198,208,274
"G00475",41,69,141,14,27,23,25,25,143,18,59
"G00476",0,0,0,0,0,0,0,0,0,0,0
"G00477",40,75,48,0,153,231,36,55,55,35,155
"G00478",131,404,204,137,396,598,67,204,290,404,766
"G00479",103,202,126,25,200,262,13,39,161,178,333
"G00480",88,134,115,31,578,760,89,101,202,154,266
"G00481",2,9,18,10,35,29,21,0,19,16,16
"G00482",632,473,991,297,703,927,209,312,655,796,512
"G00483",0,0,0,0,0,0,0,0,0,0,0
"G00484",1451,1673,755,199,1028,1412,220,855,1595,1346,2414
"G00485",0,0,0,0,0,0,0,0,0,0,0
"G00486",0,0,0,0,0,0,0,0,0,0,0
"G00487",924,1873,282,97,739,1145,54,411,694,1435,2026
"G00488",1147,1564,372,98,923,1243,205,663,1175,1226,1733
"G00489",155,8,23,1,45,20,3,15,104,277,31
