"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G08921",0,0,0,3,0,0,0,0,1,0,2
"G08922",0,2,0,0,1,10,0,0,0,0,1
"G08923",0,0,5,0,0,0,0,0,1,0,0
"G08924",241,451,71,1,330,415,0,189,668,243,177
"G08925",0,0,0,0,0,0,0,0,0,0,0
"G08926",1341,1254,439,278,6721,5323,1261,2194,1540,1400,1636
"G08927",1859,3144,1044,106,1711,2719,223,893,2143,2047,2871
"G08928",0,1,36,101,21,0,13,227,0,17,18
"G08929",0,0,0,0,0,0,0,0,0,0,0
"G08930",0,0,0,0,0,0,0,0,0,3,0
"G08931",707,1176,3079,982,2302,3744,640,1840,1240,5132,1100
"G08932",41,110,1712,462,402,394,253,4675,490,67,120
"G08933",0,0,0,0,0,0,0,0,0,0,0
"G08934",1962,2455,5061,1688,13557,18638,11089,5432,3463,6637,14307
"G08935",0,0,0,0,0,0,0,0,0,0,0
"G08936",1,1,1,0,0,0,0,0,1,1,0
"G08937",260,633,359,28,361,563,72,142,534,441,794
"G08938",2222,1185,1098,636,951,1366,1110,1302,1154,1137,1141
"G08939",518,801,996,147,1375,1520,453,336,1022,702,1201
"G08940",171,408,59,82,321,459,431,126,191,295,530
"G08941",555,997,834,450,9231,4590,923,204,1280,878,3505
"G08942",496,422,157,60,458,382,167,9,119,479,22
"G08943",62,99,99,101,361,293,114,49,85,52,74
"G08944",137,632,633,16,320,577,41,187,439,319,720
"G08945",1411,2212,1021,201,1444,1952,453,1135,2052,1893,2672
"G08946",0,4,0,0,0,1,0,0,5,2,0
"G08947",0,2,3,47,0,0,0,2,0,2,0
"G08948",3,4,1,0,0,1,0,10,3,4,3
"G08949",0,0,0,0,0,0,0,0,0,0,1
"G08950",37,153,22,0,59,103,9,53,205,94,214
"G08951",0,0,0,0,0,0,0,0,0,0,0
"G08952",1,25,56,0,52,173,0,2,49,25,84
"G08953",0,0,0,0,0,0,0,0,0,0,0
"G08954",4,1,25,7,0,23,0,0,14,14,12
"G08955",0,0,0,0,0,0,0,0,1,0,0
"G08956",91,45,110,187,646,326,200,379,277,81,278
"G08957",234,161,49,698,861,961,1340,1050,445,86,395
"G08958",25,6,0,0,7,5,0,0,23,10,13
"G08959",49,265,47,70,55,89,19,55,193,173,330
"G08960",0,0,0,0,0,0,0,0,0,0,0
"G08961",21,56,9,6,70,63,0,22,40,26,30
"G08962",0,17,0,31,11,1,0,22,13,3,7
"G08963",0,0,0,0,0,0,0,0,0,0,1
"G08964",0,0,0,0,0,0,0,0,0,0,0
"G08965",0,14,3,0,4,2,0,0,0,4,6
"G08966",10,21,11,15,10,25,7,2,15,7,8
"G08967",0,0,0,0,0,11,0,0,0,0,0
"G08968",137,256,22,0,9,57,20,69,160,61,207
"G08969",44,58,45,28,0,12,0,15,37,20,38
"G08970",1,1,2,1,8,3,1,0,0,1,1
"G08971",0,1,0,1,2,1,0,0,0,0,2
"G08972",15,13,7,0,31,11,0,6,9,16,35
"G08973",6,140,0,0,14,29,0,5,55,60,162
"G08974",18,27,4,0,0,7,1,5,19,4,0
"G08975",143,6,9,0,55,72,0,15,110,930,42
"G08976",6,57,236,9,68,86,0,27,47,29,18
"G08977",121,276,160,0,121,225,16,58,195,189,370
"G08978",609,854,909,427,2145,2361,577,673,1008,1075,1574
"G08979",991,1213,1980,952,3148,3528,1670,883,1612,1276,1462
"G08980",590,666,529,170,491,990,134,345,642,509,859
"G08981",99,50,41,33,76,32,11,22,89,26,56
"G08982",0,0,0,0,0,0,0,0,0,0,0
"G08983",0,0,0,0,0,0,0,0,0,0,0
"G08984",0,0,0,0,0,3,0,0,0,2,2
"G08985",0,2,0,0,0,3,0,0,0,0,6
"G08986",0,0,1,0,0,7,6,4,0,2,0
"G08987",56,35,110,41,156,97,46,54,55,35,49
"G08988",253,274,43,7,77,76,0,39,165,100,194
"G08989",126,313,136,16,59,143,4,122,279,317,351
"G08990",9,1,3,27,0,5,22,0,10,13,6
"G08991",10,13,65,0,76,105,2,1,37,10,15
"G08992",454,251,4769,2927,3048,443,2587,421,1311,564,149
"G08993",2162,4145,4379,1388,2399,2726,1269,1508,3959,2045,3474
"G08994",0,0,0,0,0,0,0,0,0,0,0
"G08995",3313,3407,5422,1260,5750,7728,2588,2818,4664,4108,3224
"G08996",0,0,0,0,0,0,0,0,0,0,0
"G08997",57,39,38,0,56,77,27,36,83,35,60
"G08998",221,104,343,38,189,235,20,142,178,105,144
"G08999",48,66,518,78,188,165,11,64,85,99,111
"G09000",0,0,0,0,0,0,0,0,0,0,0
"G09001",507,958,1349,217,498,520,211,129,390,742,941
"G09002",0,0,0,0,3,2,0,0,0,0,0
"G09003",2678,2576,3244,1812,3207,2857,1474,1275,3143,3945,3038
"G09004",7,19,18,0,23,55,14,3,23,9,19
"G09005",0,2,1,0,4,12,0,0,1,1,2
"G09006",0,0,0,0,2,8,0,0,4,1,4
"G09007",1,148,56,67,454,86,813,355,132,597,342
"G09008",261,711,776,145,2450,3411,429,102,1631,586,1744
"G09009",267,342,375,121,206,193,117,226,212,206,359
"G09010",0,0,0,0,0,0,0,0,0,0,0
"G09011",1726,2464,929,329,1077,1047,347,1120,1707,1491,1863
"G09013",0,0,0,0,0,0,0,0,0,0,0
"G09014",941,1495,537,413,479,1542,235,530,1596,1377,1506
"G09015",0,0,0,0,0,0,0,0,0,0,0
"G09016",466,1009,270,50,498,707,165,339,1016,763,1168
"G09017",770,1021,715,427,1801,2341,277,409,1117,806,1287
"G09018",1379,1571,1027,281,1416,1673,419,993,1287,1157,1289
"G09019",48,116,25,0,187,180,0,15,115,79,336
"G09020",934,1536,1045,328,1398,1524,582,759,1300,1016,1594
"G09021",0,0,0,0,0,0,0,0,0,0,0
"G09022",2475,5105,2301,1342,6474,7149,1307,1353,4465,3430,4363
"G09023",0,0,0,0,0,0,0,0,0,0,0
"G09024",1647,2483,1035,328,1256,1645,483,1071,2110,1875,3060
"G09025",639,1203,915,35,695,1317,115,661,1122,1078,1296
"G09026",220,552,6200,1526,2384,952,801,90,1536,70,427
"G09027",290,319,682,237,1981,785,409,342,395,468,459
"G09028",2128,2984,3554,4022,2768,3222,2518,4815,2880,2279,1121
"G09029",63,267,426,82,868,959,98,35,525,220,326
"G09030",529,436,1626,662,2967,1947,1116,545,1107,520,845
"G09031",210,287,290,37,1675,350,140,228,294,346,319
"G09032",188,414,57,0,511,273,15,66,196,199,174
"G09033",717,1067,311,160,382,448,226,1056,440,413,376
"G09034",16,14,11,0,16,52,15,0,16,10,3
"G09035",116,194,45,30,115,172,4,87,131,181,352
"G09036",0,0,0,0,0,0,0,0,0,0,0
"G09037",1,0,0,0,0,0,0,0,0,0,0
"G09038",365,369,280,106,396,499,83,184,367,375,477
"G09039",17,79,15,0,42,87,5,31,83,83,131
"G09040",21,18,403,14,34,15,12,4,23,24,40
"G09041",0,0,0,0,0,0,0,0,0,0,0
"G09042",30,45,766,146,134,95,40,79,89,65,100
"G09043",0,0,0,0,0,1,0,0,1,0,0
"G09044",971,1209,4708,6442,678,1883,1115,1329,1894,231,5999
"G09045",2,26,10744,165,77,264,130,26,289,11,7
"G09046",46,134,69,117,81,162,100,106,77,123,154
"G09047",0,1,1,0,7,3,0,0,0,0,0
"G09048",20,187,27,0,32,83,26,19,98,64,145
"G09049",6,0,11,17,0,0,0,5,4,1,0
"G09050",0,0,2,0,0,2,5,0,3,0,0
"G09051",0,10,44,0,0,6,0,6,1,0,0
"G09052",0,0,0,0,0,0,0,8,0,0,0
"G09053",0,0,0,0,0,0,0,0,0,0,0
"G09054",783,1796,803,315,790,1522,273,668,2962,1548,2194
"G09055",0,0,0,0,0,0,0,0,0,0,0
"G09056",0,0,0,0,0,0,0,0,0,0,0
"G09057",0,2,0,0,0,35,0,0,5,4,2
"G09058",1,14,41,33,27,42,50,22,23,20,12
"G09059",0,0,0,17,0,0,0,2,0,0,0
"G09060",0,0,0,0,0,2,0,0,0,0,0
"G09061",0,4,8,0,4,2,0,3,10,3,8
"G09062",0,0,451,4,9,25,20,8,3,0,0
"G09063",17,34,4,23,17,20,0,1,14,22,36
"G09064",0,0,0,0,0,0,0,0,0,0,0
"G09065",3,5,0,0,6,1,0,0,2,3,0
"G09066",305,365,332,21,459,488,60,185,470,386,410
"G09067",0,0,0,0,0,0,0,0,0,0,0
"G09068",4,4,11,0,19,22,0,2,7,11,1
"G09069",64,101,46,0,113,140,11,37,88,106,172
"G09070",0,1,0,0,4,12,0,0,5,1,0
"G09071",26,5,107,186,5,8,149,19,8,5,1
"G09072",9,0,11,0,0,0,6,0,0,0,0
"G09073",0,0,0,0,0,0,0,0,0,0,0
"G09074",0,2,5,1,5,0,0,0,1,0,0
"G09075",787,1880,2058,3056,1601,1977,2661,2956,1399,1180,939
"G09076",0,0,0,0,0,0,0,0,0,0,0
"G09077",527,751,608,335,1105,1175,408,457,833,540,903
"G09078",0,0,0,0,0,0,0,0,0,0,0
"G09079",650,1346,148,1,408,505,4,480,699,761,1135
"G09080",169,326,98,19,337,365,22,96,312,230,505
"G09081",0,0,1,0,0,2,0,1,1,1,0
"G09082",4,0,0,0,0,2,0,0,0,4,0
"G09083",231,488,48,2,157,233,28,38,245,182,168
"G09084",0,0,0,0,2,0,0,0,0,0,0
"G09085",3844,6993,1168,3,1790,4282,938,2227,4755,5117,6412
"G09086",494,1408,115,0,200,653,153,343,1192,923,1219
"G09087",116,220,238,65,435,739,173,415,216,283,354
"G09088",48,115,125,2,265,269,57,13,192,124,203
"G09089",4,8,10,18,49,11,0,4,6,19,15
"G09090",0,0,3,0,2,44,0,5,12,0,2
"G09091",0,0,0,0,0,0,0,0,1,0,0
"G09092",1333,2381,844,274,1503,1767,545,759,2006,1889,2672
"G09093",1317,2135,1899,822,3608,3783,790,1183,1870,1973,2068
"G09094",2448,3500,1532,1614,1786,2009,1700,6434,2735,2202,1622
"G09095",1741,3219,1027,504,1785,2456,367,991,2414,2176,3706
"G09096",812,1372,571,173,1222,1576,210,467,1157,1144,1578
"G09097",1408,2411,594,379,1191,1357,318,878,1897,1653,2362
"G09098",1745,2685,1102,369,1793,2260,493,1209,2172,2045,2456
"G09099",344,436,290,200,414,566,262,259,415,370,413
"G09100",56,78,85,89,894,157,167,60,160,98,173
"G09101",11,18,86,15,83,57,0,20,38,40,22
"G09102",0,0,0,0,7,2,0,1,3,2,0
"G09103",1170,1540,1059,1772,964,1205,763,1170,1250,1216,1099
"G09104",65,175,132,67,211,278,36,102,192,222,242
"G09105",521,509,508,284,889,1193,358,364,589,567,982
"G09106",42,47,160,13,1087,2221,587,90,217,329,156
"G09107",54,140,29,37,66,82,37,44,86,83,150
"G09108",152,396,232,46,493,543,114,145,365,327,402
"G09109",260,730,212,46,851,1242,68,113,642,633,1289
"G09110",0,0,0,0,0,0,0,0,0,0,0
"G09111",14,0,7,10,0,0,57,41,0,14,0
"G09112",0,0,0,0,0,0,0,0,0,0,0
"G09113",0,0,0,0,0,0,0,0,1,1,0
"G09114",0,0,23,0,0,9,0,0,4,1,0
"G09115",0,11,0,0,4,5,0,0,13,9,12
"G09116",0,0,0,0,0,6,0,0,0,0,0
"G09117",0,0,1,0,6,5,5,0,1,0,0
"G09118",862,1060,501,103,818,856,96,443,888,1003,1098
"G09119",0,0,0,0,3,1,0,0,0,0,5
"G09120",0,0,0,0,0,1,0,0,0,0,0
"G09121",0,0,0,0,0,0,0,20,2,0,0
"G09122",206,96,641,89,313,691,152,208,80,126,340
"G09123",0,0,0,0,0,0,0,0,0,0,0
"G09124",238,536,60,0,212,360,4,112,397,213,553
"G09125",144,283,110,29,239,338,17,21,275,190,448
"G09126",829,1605,732,10,1034,1179,163,438,1332,1080,1612
"G09127",150,133,187,118,1004,905,399,212,190,408,459
"G09128",590,752,505,229,414,734,248,248,566,439,775
"G09129",0,0,0,0,0,0,0,0,0,0,0
"G09130",1302,2469,804,199,1570,1571,483,689,1783,1508,2047
"G09131",0,1,4,5,61,69,0,0,8,1,5
"G09132",0,0,0,0,0,4,0,0,0,0,0
"G09133",83,186,193,0,230,181,15,80,97,69,142
"G09134",539,779,416,107,505,572,161,399,425,523,606
"G09135",0,0,0,0,0,0,0,0,0,0,0
"G09136",742,1066,339,77,717,643,207,350,745,669,1051
"G09137",1367,1817,581,121,1031,1157,359,714,1355,1387,1810
"G09138",479,1087,511,210,970,925,232,392,839,756,1267
"G09139",1134,2089,459,62,893,1291,116,693,1743,1789,1658
"G09140",93,122,88,4,61,43,10,39,104,85,126
"G09141",5,4,36,12,60,63,53,13,39,30,21
"G09142",479,850,360,183,712,803,164,369,710,573,1067
"G09143",195,335,115,2,205,344,4,67,277,287,455
"G09144",0,4,8,13,46,23,0,8,31,14,17
"G09145",586,1325,862,526,1082,1967,481,692,1251,906,1576
"G09146",4,0,60,0,42,251,1,5,19,4,14
"G09147",66,0,10,849,10,4,127,102,4,29,3
"G09148",125,353,273,391,795,2046,151,33,416,347,637
"G09149",0,0,0,0,0,0,0,0,0,0,0
"G09150",863,905,347,115,620,767,122,460,804,693,1089
"G09151",4,22,17,0,28,47,28,14,18,23,22
"G09152",0,0,0,0,0,0,0,0,0,0,0
"G09153",0,0,0,0,0,0,0,0,0,0,0
"G09154",0,0,0,0,0,0,0,0,0,0,0
"G09155",0,0,0,0,0,0,0,0,0,0,0
"G09156",5,2,9,24,3,1,23,5,1,6,2
"G09157",331,513,69,71,169,319,43,153,410,244,657
"G09158",0,0,0,0,0,0,0,0,0,0,0
"G09159",702,1106,278,16,525,667,150,310,744,674,914
"G09160",23,126,24,0,31,55,19,27,113,64,87
"G09161",397,1100,450,193,1103,696,411,250,1085,638,808
"G09162",389,823,389,131,863,712,349,268,607,517,765
"G09163",959,1189,465,144,941,1293,137,653,1165,1023,1255
"G09164",0,0,0,0,0,0,0,0,0,0,0
"G09165",21,39,2,0,24,50,0,10,25,17,45
"G09166",624,819,477,65,933,1085,341,365,762,654,969
"G09167",0,4,4,0,2,2,0,1,2,1,1
"G09168",0,0,1,0,0,0,0,0,0,0,0
"G09169",2298,3184,2171,1639,3060,3068,1467,1656,2953,2351,2943
"G09170",0,0,0,0,0,0,0,0,0,0,0
"G09171",0,0,0,0,0,0,0,0,0,0,0
"G09172",0,0,0,0,0,0,0,0,0,0,0
"G09173",254,587,437,159,821,1161,127,76,618,510,1079
"G09174",536,198,2446,446,177,800,856,1035,401,301,227
"G09175",1142,630,1779,342,114,1003,499,3753,932,1117,1640
"G09176",2455,2435,3982,1286,3574,3797,2750,2086,2998,2762,2901
"G09177",203,536,95,31,501,644,14,64,398,517,790
"G09178",1026,1895,620,453,835,1138,263,822,1574,1002,1354
"G09179",0,0,0,0,0,0,0,0,0,0,0
"G09180",0,0,0,0,0,0,0,0,0,0,0
"G09181",0,0,0,0,1,0,0,0,0,0,0
"G09182",743,1581,742,671,1080,1324,451,538,1696,1991,1333
"G09183",0,1,0,0,0,0,0,0,0,2,0
"G09184",805,1438,574,175,988,1234,270,514,1129,811,1532
"G09185",645,776,780,309,1261,1242,391,592,787,786,773
"G09186",163,243,9,0,136,183,32,61,291,171,268
"G09187",0,0,0,0,0,0,0,0,0,0,0
"G09188",99,166,31,42,103,153,13,55,123,172,289
"G09189",1281,1715,1405,958,1445,1363,839,908,1478,1643,1310
"G09190",0,2,29,0,32,26,3,0,7,4,8
"G09191",28,22,59,0,30,22,15,46,48,23,36
"G09192",0,0,0,0,0,0,0,0,0,0,0
"G09193",0,0,0,0,0,0,0,0,0,0,0
"G09194",265,771,64,0,196,336,0,333,376,350,876
"G09195",700,1154,182,110,445,569,56,602,1018,716,602
"G09196",0,0,0,0,0,0,0,0,0,0,0
"G09197",9,29,27,24,9,17,14,24,33,13,28
"G09198",0,3,0,0,6,3,0,0,1,1,0
"G09199",378,939,129,101,406,601,12,84,687,605,1414
"G09200",297,759,526,387,670,925,305,369,487,498,520
"G09201",99,376,48,0,215,234,26,76,309,218,484
"G09202",0,0,5,2,0,1,1,0,3,0,0
"G09203",0,4,6,0,0,3,0,0,0,0,0
"G09204",61,145,13,0,93,133,7,17,81,72,254
"G09205",8,9,7,0,16,10,2,12,21,9,18
"G09206",334,193,783,267,1791,1502,562,209,809,276,750
"G09207",494,958,12291,11026,5418,17772,1868,924,6337,910,944
"G09208",366,330,5347,91,315,383,2878,340,376,265,241
"G09209",33,47,1,0,39,49,3,9,62,28,61
"G09210",0,0,4,0,0,0,0,9,1,0,0
"G09211",973,1810,315,20,713,1154,139,374,1160,1050,2341
"G09212",541,895,418,194,837,1208,128,215,792,618,1100
"G09213",0,0,0,0,0,0,0,0,0,0,0
"G09214",668,976,512,24,779,1181,212,465,716,664,1208
"G09215",2131,4616,1065,495,1666,2091,303,1325,3276,3164,3213
"G09216",1431,1948,551,75,1129,1545,365,594,1555,1668,1917
"G09217",1012,765,1075,905,989,1102,804,1017,543,751,605
"G09218",22524,8496,52875,30033,78134,68551,32819,15854,40262,27424,41418
"G09219",0,6,84,83,6,0,0,2,26,3,0
"G09220",13,1,8,0,2,19,0,0,11,3,16
"G09221",0,0,1,0,1,0,0,0,0,0,0
"G09222",644,564,388,176,989,1247,140,349,662,681,711
"G09223",734,1137,485,98,685,620,82,480,850,704,1104
"G09224",412,624,484,96,632,903,37,162,650,558,941
"G09225",113,502,28,10,102,250,17,96,404,316,606
"G09226",1090,1086,659,242,835,958,201,590,876,902,1219
"G09227",0,0,0,0,0,0,0,0,0,0,0
"G09228",0,12,35,0,90,95,31,32,27,14,17
"G09229",1162,2796,1981,329,3777,3932,585,552,2658,1693,2908
"G09230",787,1368,384,488,668,1020,249,1183,894,742,585
"G09231",1039,1335,530,80,746,1116,199,380,1124,955,1759
"G09232",423,75,545,269,799,345,349,85,292,187,495
"G09233",626,1156,405,166,731,1003,51,486,902,1455,2082
"G09234",10,4,3,0,30,57,13,0,4,12,4
"G09235",8291,14025,5597,1418,9048,12883,2582,4701,11239,12196,19142
"G09236",3821,4743,2401,125,1424,3603,182,2636,3384,4493,7938
"G09237",8,3,13,23,23,6,84,6,11,60,6
"G09238",38,20,107,19,49,29,66,32,51,108,85
"G09239",1,0,2,1,0,2,0,0,0,1,1
"G09240",3,17,2,1,1,0,5,4,30,27,0
"G09241",15,0,15,12,0,0,0,2,31,9,0
"G09242",50,74,216,8,83,77,9,5,102,43,28
"G09243",578,1345,490,206,614,731,223,380,889,699,1197
"G09244",0,3,0,0,0,0,0,0,0,0,3
"G09245",0,6,1,136,1,0,10,53,10,28,3
"G09246",653,1589,194,0,361,308,178,435,1011,795,984
"G09247",3,4,8,1,64,30,1225,2,11,7,26
"G09248",4,16,14,0,136,46,802,22,46,19,32
"G09249",768,877,510,90,437,580,72,186,154,628,367
"G09250",0,0,4,0,0,0,1,0,1,0,0
"G09251",166,153,48,0,64,95,0,117,54,98,161
"G09252",0,0,0,0,0,0,0,0,0,0,0
"G09253",36,100,75,81,194,88,29,69,126,141,131
"G09254",0,390,0,0,9,17,4,232,14,276,0
"G09255",0,1,0,0,0,0,0,0,0,0,1
"G09256",4,6,0,0,15,3,0,9,6,3,18
"G09257",0,0,0,0,0,0,0,0,0,0,0
"G09258",0,0,1,0,0,0,0,1,7,0,1
"G09259",7,14,32,0,57,85,11,6,20,45,30
"G09260",26,122,55,0,234,412,30,20,159,120,315
"G09261",275,434,197,85,789,2003,468,211,476,320,891
"G09262",1,0,9,0,0,1,0,0,1,0,0
"G09263",0,26,44,8,20,19,0,5,23,9,38
"G09264",0,0,0,0,0,1,0,0,0,3,0
"G09265",0,0,0,0,2,3,0,0,0,1,1
"G09266",315,806,102,0,87,189,1,204,265,161,431
"G09267",17,59,26,0,37,53,0,63,159,37,111
"G09268",16,77,1,18,59,179,0,29,99,24,151
"G09269",52,97,0,0,8,61,6,13,23,34,124
"G09270",983,2306,589,56,927,1095,28,428,1905,1629,1409
"G09271",0,0,0,0,0,0,0,0,0,0,0
"G09272",0,0,0,0,0,0,0,0,0,0,0
"G09273",133,332,70,28,473,837,68,67,383,320,721
"G09274",14,1,3,0,6,5,4,5,3,8,5
"G09275",0,0,0,0,0,0,0,0,0,0,0
"G09276",0,7,0,0,0,2,0,0,2,6,3
"G09277",1193,1867,938,346,1593,1916,223,702,1799,1589,1950
"G09278",0,0,5,22,0,3,0,3,0,0,4
"G09279",0,1,9,0,3,0,0,0,1,0,12
"G09280",461,649,714,175,713,861,202,382,733,541,776
"G09281",857,1732,1271,456,1017,1526,235,609,1419,1144,1693
"G09282",0,0,0,0,0,0,0,0,0,0,0
"G09283",0,0,0,0,0,0,0,0,0,0,0
"G09284",4213,1268,8402,11390,2398,4614,7297,3719,4322,2201,1917
"G09285",380,701,440,167,540,665,93,235,399,464,534
"G09286",287,538,280,774,3244,2560,313,320,874,483,544
"G09287",0,0,0,0,0,0,0,0,0,0,0
"G09288",0,0,0,0,0,0,0,0,0,0,0
"G09289",7,20,56,0,44,114,9,11,69,34,72
"G09290",337,701,553,55,511,1213,161,182,877,555,990
"G09291",23,26,183,54,324,415,164,5,57,47,100
"G09292",1757,2499,1491,221,2098,2704,269,865,2375,1811,1328
"G09293",315,309,82,105,381,449,47,136,229,291,392
"G09294",0,0,0,0,0,0,0,0,0,0,0
"G09295",0,0,0,0,0,0,0,0,0,0,0
"G09296",0,0,0,0,0,3,0,3,0,0,1
"G09297",0,0,0,0,0,0,0,0,0,0,0
"G09298",0,3,4,0,4,8,0,0,0,1,3
"G09299",0,0,0,0,0,1,0,8,1,0,0
"G09300",4,0,3,0,4,1,0,5,1,4,0
"G09301",47,141,22,0,11,59,1,22,81,51,146
"G09302",27,15,135,27,47,19,20,22,42,35,12
"G09303",549,826,513,51,597,515,224,406,724,646,660
"G09304",2032,2754,2439,519,4084,6161,1356,1452,3482,3069,2811
"G09305",931,1102,1675,643,3544,3474,1279,940,1377,1428,1835
"G09306",32,120,15,31,173,177,30,22,89,98,191
"G09307",0,0,2,0,3,5,13,0,2,3,2
"G09308",463,446,595,214,835,946,177,300,707,561,648
"G09309",2225,2448,1510,1745,1651,1845,1305,3572,1717,1398,1689
"G09310",715,1929,656,146,1464,1442,259,552,1509,1252,2118
"G09311",0,2,21,61,26,187,0,22,24,30,16
"G09312",112,203,49,37,182,173,39,59,166,143,278
"G09313",0,1,65,0,17,0,0,0,1,2,1
"G09314",272,308,106,19,40,115,8,90,237,149,200
"G09315",1818,5525,2435,1957,3238,4261,1216,4010,4948,4151,1927
"G09316",513,1153,518,146,867,1021,194,324,814,744,809
"G09317",1186,1748,516,136,889,1365,139,597,1172,1228,1515
"G09318",144,202,429,126,400,405,438,171,294,172,246
"G09319",276,801,243,20,275,428,13,205,466,498,335
"G09320",1080,1625,1050,331,1556,2227,385,583,1394,1233,1727
"G09321",960,1960,813,434,1539,1925,565,608,1377,1399,2738
"G09322",1236,2480,1847,148,1914,2109,343,850,2214,1707,2009
"G09323",1083,1593,437,210,970,1349,198,535,1243,1330,1987
"G09324",578,759,744,82,875,1121,263,406,865,826,746
"G09325",1923,2448,1252,339,2021,3180,322,863,2644,2319,3286
"G09326",1376,2273,1062,317,1378,1901,313,674,1733,1334,2096
"G09327",48,124,48,48,89,177,0,49,83,59,124
"G09328",0,1,0,0,0,0,0,10,0,6,4
"G09329",0,0,1,0,2,3,0,0,1,0,0
"G09330",64,129,349,115,71,149,54,13,184,64,191
"G09331",8,35,18,0,32,60,0,5,21,16,31
"G09332",0,0,1,0,0,0,0,2,0,0,0
"G09333",76,199,30,0,70,106,16,23,180,140,359
"G09334",13123,22526,2717,9,5616,11782,218,5014,12201,14385,23750
"G09335",45,82,243,0,9,55,0,46,109,63,190
"G09336",0,2,19,0,0,0,0,6,12,5,0
"G09337",0,0,0,0,0,0,0,0,0,0,0
"G09338",0,0,0,0,0,1,0,0,0,1,1
"G09339",0,0,0,0,0,0,0,0,0,0,0
"G09340",2,10,85,0,46,70,0,6,31,18,44
"G09341",351,65,639,82,460,843,231,411,195,50,193
"G09342",13,17,6,0,3,15,0,28,4,9,18
"G09343",25,148,47,0,22,8,1,32,65,39,86
"G09344",4,14,22,8,20,41,194,0,13,20,6
"G09345",29,7,194,9,462,237,184,44,6,10,4
"G09346",696,893,1202,398,1018,866,594,490,933,556,965
"G09347",2530,2679,4448,1406,4666,4779,1450,1821,4151,2838,3534
"G09348",401,856,1504,404,2268,1565,376,353,824,416,742
"G09349",21,661,8,9,208,204,26,12,131,66,402
"G09350",0,0,0,0,0,1,0,0,2,0,0
"G09351",0,0,0,0,0,2,0,0,4,3,1
"G09352",22,125,23,15,113,233,57,30,142,113,296
"G09353",2134,4387,1403,128,2164,3076,320,2048,3653,3334,3568
"G09354",0,0,0,0,0,0,0,0,0,0,0
"G09355",589,735,212,34,444,717,48,261,837,707,1312
"G09356",529,863,483,143,791,969,249,328,711,577,925
"G09357",0,0,0,0,0,0,0,0,0,0,0
"G09358",0,0,0,0,0,0,0,0,0,0,0
"G09359",0,0,0,0,14,0,0,0,0,0,0
"G09360",0,0,0,0,0,0,0,0,0,0,0
"G09361",4,4,6,0,4,5,0,0,5,1,5
"G09362",584,625,814,196,1144,1544,319,319,861,686,1060
"G09363",608,845,414,114,602,667,164,374,754,659,794
"G09364",0,0,0,0,0,0,0,0,0,0,0
"G09365",0,0,0,0,0,0,0,0,0,0,0
"G09366",0,0,0,0,0,1,0,0,0,0,0
"G09367",0,0,3,0,0,0,0,2,1,0,1
"G09368",0,0,0,0,0,4,0,0,0,0,0
"G09369",0,0,0,0,0,0,0,0,0,0,0
"G09370",472,1213,142,0,398,577,124,156,815,706,1001
"G09371",49,111,27,0,32,49,0,20,103,59,115
"G09372",0,0,0,0,0,0,0,0,0,0,0
"G09373",13,69,13,0,49,55,17,3,52,47,90
"G09374",0,0,0,0,2,1,0,0,0,0,0
"G09375",121,348,701,138,692,1280,264,70,564,349,450
"G09376",0,0,0,0,0,0,0,3,3,2,2
"G09377",230,122,1676,106,673,671,505,420,458,932,274
"G09378",91,41,33,31,101,69,1,57,139,58,118
"G09379",294,477,211,125,579,401,212,208,401,742,426
"G09380",1066,1516,1433,461,1894,2284,827,878,1590,1304,1869
"G09381",1045,1935,1107,1698,2230,2546,842,1433,1625,2033,1134
"G09382",42,153,16,37,107,109,26,116,104,101,166
"G09383",32,37,11,6,42,36,0,12,30,33,55
"G09384",88,489,61,73,308,299,69,27,341,177,490
"G09385",28,46,12,0,84,97,13,3,43,30,127
"G09386",1552,2221,1224,1049,1258,2012,721,1422,1861,2002,1765
"G09387",589,937,551,54,591,536,185,641,744,742,773
"G09388",550,566,301,175,515,799,151,343,509,599,898
"G09389",0,0,0,0,0,0,0,0,0,0,0
"G09390",84,221,110,44,109,186,54,46,178,135,248
"G09391",1857,2570,1492,301,1836,2656,455,921,2176,1787,2443
"G09392",57,242,14,26,25,64,20,24,134,108,436
"G09393",577,642,664,157,1464,477,193,324,834,550,591
"G09394",165,427,100,1,136,142,37,97,295,158,370
"G09395",2631,4094,4993,2297,7839,9271,4248,2738,5469,3137,5181
"G09396",1146,1775,1039,318,1974,2276,496,726,1462,1124,2021
"G09397",59,360,103,1,310,382,52,18,299,250,523
"G09398",17,25,87,34,141,216,32,31,74,61,122
"G09399",276,587,174,17,590,669,65,225,285,318,166
"G09400",0,0,0,0,0,0,0,0,0,0,0
"G09401",548,684,402,171,629,752,190,390,713,707,875
"G09402",3,1,0,0,3,28,12,0,14,0,31
"G09403",0,0,11,0,13,104,23,3,23,2,76
"G09404",0,0,0,0,0,0,0,0,1,0,0
"G09405",742,491,3353,1598,3297,2182,2809,389,2228,353,1197
"G09406",725,855,638,363,888,1163,335,723,961,812,1084
"G09407",0,0,0,0,0,0,0,0,0,0,0
