GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G02531,93.82508216,5.131492437,0.899897201,5.702309585,1.18E-08,3.44E-06
G07892,874.1297112,5.094684218,0.945215263,5.389972442,7.05E-08,1.36E-05
G09848,64.27088991,5.072487396,1.535148544,3.304232294,0.000952369,0.014906953
G07155,31.01539742,5.045262626,0.83901225,6.013336073,1.82E-09,7.59E-07
G18071,34.6860602,5.034931194,1.378841135,3.651567296,0.000260645,0.006181428
G13187,135.0176578,4.985494952,0.626435355,7.958514649,1.74E-15,3.63E-12
G05535,513.3853295,4.973216719,1.05768618,4.701977595,2.58E-06,0.000223065
G17283,22.80734518,4.970845028,1.241411808,4.004187003,6.22E-05,0.00229007
G00730,43.33778762,4.969145554,1.583726035,3.137629518,0.0017032,0.022145675
G16463,36.89686059,4.966227618,1.057134057,4.697821991,2.63E-06,0.000223991
G03013,3.746034699,4.936559779,1.67739498,2.942991865,0.00325057,0.03355668
G03255,44.7314843,4.918561678,1.017369025,4.834589572,1.33E-06,0.000145278
G16881,2835.077779,4.910950158,0.858795531,5.718416062,1.08E-08,3.28E-06
G09156,13.86220709,4.907844681,1.039006714,4.723592846,2.32E-06,0.000210255
G06679,91.15506537,4.904414006,0.91877041,5.338019108,9.40E-08,1.73E-05
G05160,27.22870319,4.903104248,1.643090769,2.984073881,0.002844381,0.030678154
G13775,200.3803881,4.861381334,0.720546948,6.746793319,1.51E-11,1.26E-08
G14273,13.17313503,4.836742505,1.322968019,3.655978402,0.000256203,0.006134174
G16812,130.4982796,4.819143043,1.098197813,4.388228594,1.14E-05,0.000689172
G15143,5.853491509,4.795896405,1.631702502,2.9391978,0.00329063,0.033747148
G01098,71.35626957,4.790798765,1.526725205,3.137957473,0.001701296,0.022145139
G18155,56.04637387,4.77908203,1.389015727,3.440624852,0.000580373,0.010757474
G10054,6.500006991,4.770592419,1.57020759,3.03819218,0.002380021,0.027167389
G12895,220.0020053,4.759256248,1.271078788,3.744265337,0.000180922,0.00479176
G08550,19.81161318,4.757605869,1.098871344,4.329538572,1.49E-05,0.000815907
G09062,51.81100096,4.694142705,1.427374328,3.28865569,0.001006671,0.015581623
G03073,46142.5227,4.672785824,0.853704066,5.473542894,4.41E-08,9.86E-06
G03465,43.78723439,4.613816586,1.392102446,3.314279491,0.000918796,0.014627399
G18370,19.3218182,4.611443973,1.348198234,3.420449497,0.000625177,0.011280219
G04396,359.3682987,4.600588318,0.901394887,5.103854466,3.33E-07,5.14E-05
G14616,32.33642568,4.599119669,1.030928981,4.461141122,8.15E-06,0.000540131
G04917,315.8045747,4.594796123,1.46885645,3.128145112,0.001759133,0.022591989
G17888,39.79161819,4.574663071,1.341315043,3.410580605,0.000648247,0.011513974
G07066,27.73226275,4.526470845,1.113987252,4.063305783,4.84E-05,0.001935612
G14956,31.39036199,4.504910094,1.191603732,3.780543795,0.000156486,0.004373929
G10428,12.84892547,4.496443172,1.431620997,3.14080555,0.001684839,0.021999529
G16891,19.13976553,4.492861122,1.309941972,3.429816908,0.000603989,0.010992945
G17257,551.3614731,4.48484776,0.80036198,5.603524243,2.10E-08,5.60E-06
G01673,13.11344358,4.467055305,1.381304469,3.233939659,0.001220952,0.017736389
G12843,215.1218667,4.421475881,0.97100984,4.553482055,5.28E-06,0.000390962
G04260,28.63480341,4.393215306,1.041563064,4.217906202,2.47E-05,0.001235077
G07317,14.33986863,4.372424449,1.3110564,3.33503917,0.000852874,0.013851733
G17926,1356.978206,4.351856985,0.996049996,4.369115005,1.25E-05,0.000738175
G01118,308.1351542,4.332099193,0.795084228,5.448604107,5.08E-08,1.08E-05
G16794,746.5837662,4.32059992,1.090117728,3.963425057,7.39E-05,0.002584221
G16813,31.21133902,4.274145651,1.379785483,3.097688521,0.001950363,0.02403784
G11947,18.67541326,4.268571767,1.303027112,3.27588868,0.001053301,0.016119404
G17551,41.44684191,4.25907558,1.352560058,3.148899418,0.001638866,0.021579263
G16188,764.5216156,4.235442745,1.147880772,3.689793269,0.000224436,0.005620784
G16683,142.6887239,4.233193927,0.844916237,5.010193602,5.44E-07,7.40E-05
G11826,17.99041577,4.212619659,1.420243565,2.966124799,0.003015781,0.032059747
G00553,39.39135102,4.212028038,1.239536207,3.398067771,0.000678636,0.011885148
G03048,251.3440983,4.157222677,0.751390488,5.532706022,3.15E-08,7.90E-06
G14948,20.77122597,4.126861537,1.074605807,3.840349186,0.000122859,0.003712407
G02874,47.72958674,4.115949388,1.09483277,3.759432036,0.0001703,0.004635849
G12280,243.9153584,4.097529331,0.853213478,4.802466715,1.57E-06,0.000164915
G15430,38.3628104,4.088344322,1.158360464,3.529423222,0.000416467,0.008764696
G17828,9.962477179,4.074810987,1.443441706,2.822982716,0.004757914,0.043551604
G11764,40.58507987,4.069681582,0.897239934,4.53577848,5.74E-06,0.00041302
G05545,509.1170756,4.05635794,1.294058945,3.134600595,0.001720882,0.02228427
G01688,14.98998466,4.04964719,1.314240995,3.08135814,0.002060586,0.024906045
G14389,30.87860059,4.048076657,1.201879412,3.36812214,0.000756821,0.012766804
G07429,1324.507356,4.043577117,1.060758012,3.811969431,0.000137864,0.003959477
G14229,23.24611571,4.040754341,1.193898116,3.384505165,0.000713067,0.012214805
G09884,395.9195406,4.033119557,1.188315194,3.393981308,0.000688844,0.011944878
G15692,100.8412165,4.023668215,1.237908714,3.250375548,0.001152527,0.016998755
G06155,63.6606346,3.986056072,0.739269304,5.39188635,6.97E-08,1.36E-05
G04133,89.38268965,3.967575868,0.963514221,4.117817654,3.82E-05,0.001690847
G06357,46.80845482,3.952581263,1.067406438,3.702976786,0.000213084,0.005412116
G14904,136.3585374,3.931132404,0.906736436,4.335474179,1.45E-05,0.00081307
G17709,10.59859708,3.870850152,1.368817424,2.827879075,0.00468575,0.043152793
G13774,31.94145921,3.869128571,1.169054377,3.309622415,0.000934219,0.014777646
G09208,1324.078117,3.865981316,0.813801773,4.750519652,2.03E-06,0.000193942
G03475,5811.946187,3.840648229,0.64107377,5.990961432,2.09E-09,8.43E-07
G08215,4.659043303,3.836615573,1.36651731,2.807586516,0.004991427,0.044961431
G11652,24.94133333,3.836450309,1.049804239,3.654443529,0.00025774,0.006150112
G04774,111.209731,3.81172861,0.807907262,4.718027414,2.38E-06,0.000213001
G01579,24905.94175,3.793374303,0.717111143,5.28979969,1.22E-07,2.13E-05
G07901,2996.633641,3.777847255,0.53064515,7.119347567,1.08E-12,1.36E-09
G14000,6307.213386,3.768482922,0.549673467,6.855857425,7.09E-12,6.83E-09
G05551,80.95188093,3.758248904,0.925167008,4.062238355,4.86E-05,0.001938294
G10410,44.50582533,3.747063891,0.942230912,3.976799999,6.98E-05,0.002506153
G02151,23.74528923,3.730901169,0.946484867,3.941849783,8.09E-05,0.002773901
G13999,9043.541577,3.713714329,0.692319739,5.364160691,8.13E-08,1.54E-05
G15709,19.60694225,3.701494657,1.302543051,2.841744582,0.004486742,0.041821105
G15326,25.71229319,3.695751981,1.157795162,3.192060309,0.001412618,0.019502543
G15913,29.88213525,3.689335128,0.898352607,4.106778451,4.01E-05,0.001730867
G16865,20.57792855,3.687649057,0.945713086,3.899331745,9.65E-05,0.003130808
G12779,20.92925925,3.68335886,1.078608548,3.414917179,0.000638014,0.011380644
G09728,160.4137162,3.682921242,1.293830601,2.84652507,0.004419925,0.041478609
G14492,660.3261702,3.681961804,0.768548079,4.790802169,1.66E-06,0.0001705
G01019,78.72062365,3.652659195,0.887228515,4.116931696,3.84E-05,0.001690847
G05195,16167.92198,3.625198886,0.905465518,4.003685189,6.24E-05,0.00229007
G14070,60.21140758,3.614610906,0.94659515,3.818539433,0.000134244,0.003891215
G05142,505.7039285,3.584273616,0.754323748,4.751638303,2.02E-06,0.000193942
G08932,1045.397976,3.568802667,0.69144297,5.161383978,2.45E-07,4.04E-05
G00462,1325.328744,3.563635676,0.93027208,3.830745601,0.000127756,0.003802733
G06292,900.920651,3.553225119,0.947801507,3.748912715,0.000177603,0.004752016
G04859,70.7473803,3.553142155,0.870657152,4.080988881,4.48E-05,0.001848032
G03347,44.73265139,3.530192814,0.729671507,4.838057644,1.31E-06,0.000144019
G04442,84.77257874,3.529882824,1.009458753,3.496807387,0.000470862,0.009388742
G07915,134.7797716,3.525416234,1.139186384,3.094679046,0.00197026,0.024132736
G03006,105.427166,3.515818064,1.209006903,2.908021498,0.003637233,0.036204639
